Date,Segment ID
"Sep 1, 2026, 6:57:37 PM",9578952
"Sep 1, 2026, 6:56:29 PM",15862656
"May 31, 2026, 8:38:55 PM",7184893
"May 26, 2026, 10:57:38 AM",16862407
"May 26, 2026, 10:53:01 AM",12660936
"Jul 1, 2024, 5:47:05 PM",11842088
"Apr 21, 2024, 1:23:45 PM",5276368
"Sep 26, 2023, 4:53:23 PM",6483843
"Sep 6, 2023, 9:29:36 AM",6725436
"Sep 5, 2023, 7:13:17 PM",10101805
"Aug 20, 2023, 10:47:49 AM",1217336
"Aug 20, 2023, 10:47:40 AM",34002789
"Jun 21, 2023, 6:22:12 AM",4570249
"Jun 21, 2023, 6:21:42 AM",1499950
"Jun 17, 2023, 3:22:56 PM",7457968
