Date,Route ID
"Apr 30, 2022, 7:02:22 AM",2739209434513904060
"May 26, 2020, 12:43:15 PM",27865917
"Sep 2, 2021, 3:22:16 PM",2868532055785005218
"Sep 2, 2021, 3:23:18 PM",2868532315721837760
"Apr 29, 2022, 4:26:07 PM",27976013
"Feb 14, 2024, 3:35:19 PM",3192872475809016278
"Oct 5, 2021, 6:13:21 PM",2880533908540100360
"Apr 29, 2022, 5:53:37 PM",2955180840942039816
"Sep 29, 2021, 3:24:40 PM",2878317131497209268
"Jul 29, 2021, 5:44:44 PM",2855884331413658786
"Jul 21, 2021, 8:58:26 AM",2852852781300020250
"Aug 10, 2021, 2:00:28 PM",2860176548978268642
"Oct 5, 2021, 6:19:00 PM",2880535329396328624
"Apr 12, 2024, 5:03:05 PM",3213913058971053076
"Sep 25, 2021, 11:48:45 AM",2876813243168273288
"Oct 5, 2021, 7:30:03 AM",2880372018117143728
"May 11, 2024, 10:46:18 AM",3224327485892759900
"Sep 29, 2021, 3:23:53 PM",2878316931719331370
"Jun 29, 2022, 8:54:31 AM",2977150835294617342
"Sep 2, 2021, 3:25:17 PM",2868532813311174848
"Aug 8, 2023, 5:25:30 PM",3124046510793301048
"Sep 19, 2021, 6:58:52 AM",2874559121071591838
"Mar 29, 2024, 5:16:58 PM",3208843121739884518
